/apple2gs/App/	mame_libretro apple2gs -flop3		https://archive.org/download/tosec-main/Apple/IIGS/Applications/%5B2MG%5D/Apple%20IIGS%20-%20Applications%20-%20%5B2MG%5D%20%28TOSEC-v2025-01-15%29.zip/
/apple2gs/Demo [2MG]/	mame_libretro apple2gs -flop3		https://archive.org/download/tosec-main/Apple/IIGS/Demos/%5B2MG%5D/Apple%20IIGS%20-%20Demos%20-%20%5B2MG%5D%20%28TOSEC-v2023-06-14%29.zip/
/apple2gs/Demo [PO]/	mame_libretro apple2gs -flop3		https://archive.org/download/tosec-main/Apple/IIGS/Demos/%5BPO%5D/Apple%20IIGS%20-%20Demos%20-%20%5BPO%5D%20%28TOSEC-v2023-08-29%29.zip/
/apple2gs/Edu [A2R]/	mame_libretro apple2gs -flop3		https://archive.org/download/tosec-main/Apple/IIGS/Educational/%5BA2R%5D/Apple%20IIGS%20-%20Educational%20-%20%5BA2R%5D%20%28TOSEC-v2024-01-15%29.zip/
/apple2gs/Edu [PO]/	mame_libretro apple2gs -flop3		https://archive.org/download/tosec-main/Apple/IIGS/Educational/%5BPO%5D/Apple%20IIGS%20-%20Educational%20-%20%5BPO%5D%20%28TOSEC-v2023-06-14%29.zip/
/apple2gs/Edu [WOZ]/	mame_libretro apple2gs -flop3		https://archive.org/download/tosec-main/Apple/IIGS/Educational/%5BWOZ%5D/Apple%20IIGS%20-%20Educational%20-%20%5BWOZ%5D%20%28TOSEC-v2024-01-15%29.zip/
/apple2gs/Cracked MAME/	mame_libretro apple2gs -flop3		https://archive.org/download/mame-sl/mame-sl/apple2gs_flop_clcracked.zip/apple2gs_flop_clcracked/
/apple2gs/Misc MAME/	mame_libretro apple2gs -flop3		https://archive.org/download/mame-sl/mame-sl/apple2gs_flop_misc.zip/apple2gs_flop_misc/
/apple2gs/Orig MAME/	mame_libretro apple2gs -flop3		https://archive.org/download/mame-sl/mame-sl/apple2gs_flop_orig.zip/apple2gs_flop_orig/
/apple3/TOSEC/	mame_libretro apple3 -flop1		https://archive.org/download/tosec-main/Apple/III/Games/Apple%20III%20-%20Games%20%28TOSEC-v2023-08-29%29.zip/
/apple3/Applications/	mame_libretro apple3 -flop1		https://archive.org/download/tosec-main/Apple/III/Applications/%5BDSK%5D/Apple%20III%20-%20Applications%20-%20%5BDSK%5D%20%28TOSEC-v2025-01-15%29.zip/
/apple3/WAP PD/	mame_libretro apple3 -flop1		https://archive.org/download/tosec-main/Apple/III/Collections/WAP%20III%20SIG%20Public%20Domain%20Library/Apple%20III%20-%20Collections%20-%20WAP%20III%20SIG%20Public%20Domain%20Library%20%28TOSEC-v2012-08-27%29.zip/
/apple3/Demo/	mame_libretro apple3 -flop1		https://archive.org/download/tosec-main/Apple/III/Demos/Apple%20III%20-%20Demos%20%28TOSEC-v2023-08-29%29.zip/
/apple3/Edu/	mame_libretro apple3 -flop1		https://archive.org/download/tosec-main/Apple/III/Educational/Apple%20III%20-%20Educational%20%28TOSEC-v2025-01-15%29.zip/
/apple3/MAME/	mame_libretro apple3 -flop1		https://archive.org/download/mame-sl/mame-sl/apple3.zip/apple3/
/lisa/Applications/	mame_libretro lisa -flop1		https://archive.org/download/tosec-main/Apple/Lisa/Applications/%5BA2R%5D/Apple%20Lisa%20-%20Applications%20-%20%5BA2R%5D%20%28TOSEC-v2022-12-21%29.zip/
/lisa/MAME/	mame_libretro lisa -flop1		https://archive.org/download/mame-sl/mame-sl/lisa.zip/lisa/
/macintosh/Flop MAME/	mame_libretro macse -flop1		https://archive.org/download/mame-sl/mame-sl/mac_flop.zip/mac_flop/
/macintosh/Orig MAME/	mame_libretro macse -flop1		https://archive.org/download/mame-sl/mame-sl/mac_flop_orig.zip/mac_flop_orig/
/macintosh/Cracked MAME/	mame_libretro macse -flop1		https://archive.org/download/mame-sl/mame-sl/mac_flop_clcracked.zip/mac_flop_clcracked/
/macintosh/HDflop MAME/	mame_libretro macse -flop1		https://archive.org/download/mame-sl/mame-sl/mac_hdflop.zip/mac_hdflop/
/macintosh/HDD CHD/	mame_libretro macse -hard		https://archive.org/download/mame-software-list-chds-2/mac_hdd/
/macintosh/Games/	mame_libretro macse -flop1		https://archive.org/download/tosec-main/Apple/Macintosh/Games/%5BDSK%5D/Apple%20Macintosh%20-%20Games%20-%20%5BDSK%5D%20%28TOSEC-v2025-01-15%29.zip/
/zx80/MAME/	mame_libretro zx80 -autoboot_command 'W\n' -autoboot_delay 3 -cass		https://archive.org/download/mame-sl/mame-sl/zx80_cass.zip/zx80_cass/
/zx81/TOSEC/	81_libretro		https://archive.org/download/tosec-main/Sinclair/ZX81/Games/%5BMultipart%5D/Sinclair%20ZX81%20-%20Games%20-%20%5BMultipart%5D%20%28TOSEC-v2011-09-24%29.zip/
/zx81/App/	81_libretro		https://archive.org/download/tosec-main/Sinclair/ZX81/Applications/%5BMultipart%5D/Sinclair%20ZX81%20-%20Applications%20-%20%5BMultipart%5D%20%28TOSEC-v2011-09-24%29.zip/
/zx81/Demo [P]/	81_libretro		https://archive.org/download/tosec-main/Sinclair/ZX81/Demos/%5BP%5D/Sinclair%20ZX81%20-%20Demos%20-%20%5BP%5D%20%28TOSEC-v2024-07-03%29.zip/
